facility_code,facility_name,official_name,keph_level,facility_type,facility_type_category,owner,owner_type,regulatory_body,beds,cots,beds_and_cots,county,constituency,sub_county,ward,operation_status,open_whole_day,open_public_holidays,open_weekends,open_late_night,service_names,source,keph_level_numeric,facility_id,eligible_hemodialysis,eligible_icu_ventilator,eligible_anesthesia_theatre,eligible_mri_ct,eligible_xray,eligible_ultrasound,eligible_patient_monitor,equipment_eligible_any
13098.0,Mp Shah Hospital (Westlands),MP Shah Hospital (Westlands),Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,0,Nairobi,Westlands,Westlands,Parklands/Highridge,Operational,Yes,No,Yes,No,,kmhfr_openafrica_2020,4.0,13098.0,True,True,True,False,True,True,True,True
12524.0,Mikinduri Health Centre,Mikinduri Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,24,0,24,Meru,Tigania East,Tigania East,Mikinduri,Operational,No,No,No,No,,kmhfr_openafrica_2020,3.0,12524.0,False,False,False,False,True,True,True,True
11968.0,Cheera Health Center,Cheera Health Center,Level 3,Basic Health Centre,HEALTH CENTRE,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,16,0,16,Tharaka Nithi,Chuka/Igambang'ombe,Chuka,Mugwe,Operational,Yes,No,Yes,No,,kmhfr_openafrica_2020,3.0,11968.0,False,False,False,False,True,True,True,True
10110.0,Difathas Health Centre,Difathas Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,5,1,6,Kirinyaga,Mwea,Kirinyaga South,Murinduko,Operational,Yes,No,Yes,No,,kmhfr_openafrica_2020,3.0,10110.0,False,False,False,False,True,True,True,True
16133.0,Soy Resource Centre,Soy Resource Centre,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,0,Kakamega,Likuyani,Likuyani,Likuyani,Operational,No,No,No,No,,kmhfr_openafrica_2020,2.0,16133.0,False,False,False,False,False,False,False,False
15951.0,Kipkaren Clinic,Kipkaren Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,0,Kakamega,Lugari,Lugari,Lumakanda,Operational,No,No,No,No,,kmhfr_openafrica_2020,2.0,15951.0,False,False,False,False,False,False,False,False
10340.0,Ihururu Health Centre,Ihururu Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,14,0,14,Nyeri,Tetu,Tetu,Dedan Kimathi,Operational,No,No,No,No,,kmhfr_openafrica_2020,3.0,10340.0,False,False,False,False,True,True,True,True
10443.0,Kambirwa Health Centre,Kambirwa Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Muranga,Kiharu,Kiharu,Mbiri,Operational,No,No,No,No,,kmhfr_openafrica_2020,3.0,10443.0,False,False,False,False,True,True,True,True
12748.0,St Francis Health Centre,St Francis Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Christian Health Association of Kenya,Faith Based Organization,Kenya MPDB,0,0,0,Meru,Tigania West,Tigania West,Nkomo,Operational,No,No,No,No,,kmhfr_openafrica_2020,3.0,12748.0,False,False,False,False,True,True,True,True
12569.0,Mulutu Mission Dispensary,Mulutu Mission Dispensary,Level 2,Dispensary,DISPENSARY,Other Faith Based,Faith Based Organization,Kenya MPDB,0,0,0,Kitui,Kitui Central,Kitui Central,Kyangwithya West,Operational,No,No,No,No,,kmhfr_openafrica_2020,2.0,12569.0,False,False,False,False,False,False,False,False
10227.0,Gatuanyaga Dispensary,Gatuanyaga Dispensary,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kiambu,Thika Town,Thika Town,Gatuanyaga,Operational,No,No,No,No,,kmhfr_openafrica_2020,2.0,10227.0,False,False,False,False,False,False,False,False
10269.0,Githunguri Health Centre,Githunguri Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,10,0,10,Kiambu,Githunguri,Githunguri,Githunguri,Operational,No,No,No,No,,kmhfr_openafrica_2020,3.0,10269.0,False,False,False,False,True,True,True,True
11532.0,Madamani Dispensary,Madamani Dispensary,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kilifi,Ganze,Ganze,Sokoke,Operational,No,No,No,No,,kmhfr_openafrica_2020,2.0,11532.0,False,False,False,False,False,False,False,False
10263.0,Githiga Health Centre,Githiga Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,16,0,16,Kiambu,Githunguri,Githunguri,Githiga,Operational,No,No,No,No,,kmhfr_openafrica_2020,3.0,10263.0,False,False,False,False,True,True,True,True
10852.0,New Tumaini  Health Centre,New Tumaini Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Nyandarua,Ol Kalou,Olkalou,Kanjuiri Range,Operational,No,No,No,No,,kmhfr_openafrica_2020,3.0,10852.0,False,False,False,False,True,True,True,True
12588.0,Muthambi Dispensary,Muthambi Dispensary,Level 2,Dispensary,DISPENSARY,Christian Health Association of Kenya,Faith Based Organization,Kenya MPDB,0,0,0,Tharaka Nithi,Maara,Muthambi,Muthambi,Operational,No,No,No,No,,kmhfr_openafrica_2020,2.0,12588.0,False,False,False,False,False,False,False,False
10863.0,Ngelelya Health Center,Ngelelya Health Center,Level 3,HEALTH CENTRE,,Ministry of Health,Ministry of Health,Ministry of Health,6,0,6,Muranga,Gatanga,Gatanga,Ithanga,Operational,Yes,No,Yes,No,,kmhfr_openafrica_2020,3.0,10863.0,False,False,False,False,True,True,True,True
10891.0,Nyahururu Private Hospital,Nyahururu Private Hospital,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,29,0,29,Laikipia,Laikipia West,Laikipia West,Igwamiti,Operational,Yes,No,Yes,No,,kmhfr_openafrica_2020,4.0,10891.0,True,True,True,False,True,True,True,True
13467.0,Agenga Dispensary,Agenga Dispensary,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,2,0,2,Migori,Nyatike,Nyatike,North Kadem,Operational,Yes,No,Yes,No,,kmhfr_openafrica_2020,2.0,13467.0,False,False,False,False,False,False,False,False
10262.0,Githanga (ACK) Dispensary,Githanga (ACK) Dispensary,Level 2,Dispensary,DISPENSARY,Christian Health Association of Kenya,Faith Based Organization,Kenya MPDB,0,0,0,Nyeri,Mukurweini,Mukurweini,Gikondi,Operational,No,No,No,No,,kmhfr_openafrica_2020,2.0,10262.0,False,False,False,False,False,False,False,False
12798.0,Thitha Dispensary,Thitha Dispensary,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kitui,Mwingi Central,Mwingi Central,Kivou,Operational,No,No,No,No,,kmhfr_openafrica_2020,2.0,12798.0,False,False,False,False,False,False,False,False
11863.0,Tumaini Medical Cl Dzitsoni,Tumaini Medical Cl Dzitsoni,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,0,Kilifi,Kilifi South,Kilifi South,Chasimba,Operational,No,No,No,No,,kmhfr_openafrica_2020,2.0,11863.0,False,False,False,False,False,False,False,False
14044.0,Riakworo Dispensary,Riakworo Dispensary,Level 2,Dispensary,DISPENSARY,Christian Health Association of Kenya,Faith Based Organization,Kenya MPDB,2,0,2,Nyamira,Kitutu Masaba,Masaba North,Gesima,Operational,No,No,Yes,No,,kmhfr_openafrica_2020,2.0,14044.0,False,False,False,False,False,False,False,False
10244.0,Geta Bush Health Centre,Geta Bush Health centre,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,10,4,14,Nyandarua,Kipipiri,Kipipiri,Geta,Operational,No,No,No,No,,kmhfr_openafrica_2020,3.0,10244.0,False,False,False,False,True,True,True,True
